Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariableInternal,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariableProtectedInternal,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodInternal,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodProtectedInternal,CountDeclMethodPublic,CountDeclProperty,CountDeclPropertyAuto,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Unknown Method,"Add",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
Unknown Method,"AppendText",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
Unknown Class,"ApplicationSettingsBase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
File,"AssemblyInfo.cs",0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,35,,,,4,,,,14,,,14,0,17,,,,0,0,,,,2,2,2,,,0,,,,,,,,0,0,0,0,,,0,,,,1.21,0,0,0,0
File,"AttrezzoMapper.cs",1,1,1,1,4,0,4,0,,,,,1,,,3,,3,,,,,,,,,,,,,,,,,,24,,,,3,,,,21,,,7,4,0,,,,0,0,,,,6,11,7,,,4,,,,,,,,1,1,1,1,,,0,,,,0.00,3,3,3,3
Unknown Method,"BeginInit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
Unknown Class,"Button",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
Unknown Class,"CheckBox",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
Unknown Method,"Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
Unknown Method,"Dispose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
Unknown Class,"EditorBrowsableAttribute",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
Unknown Method,"EnableVisualStyles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
Unknown Method,"EndInit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
Unknown Method,"Equals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
Unknown Method,"ExecuteNonQueryAsync",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
Unknown Method,"ExecuteReader",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
Unknown Class,"Font",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
Unknown Class,"Form",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
File,"FormAggiungiProdottiRicetta.Designer.cs",1,1,2,1,53,0,40,12,,,,,1,,,2,,2,,,,,,,,,,,,,,,,,,139,,,,7,,,,95,,,12,74,35,,,,0,2,,,,80,85,12,,,73,,,,,,,,2,2,3,1,,,1,,,,0.37,3,3,4,2
File,"FormAggiungiProdottiRicetta.cs",2,2,2,1,12,1,11,0,,,,,1,,,3,,3,,,,,,,,,,,,,,,,,,54,,,,7,,,,47,,,14,20,0,,,,0,0,,,,24,32,14,,,20,,,,,,,,3,3,4,1,,,1,,,,0.00,6,6,7,3
File,"FormAggiungiRic.Designer.cs",1,1,2,1,73,1,54,18,,,,,1,,,2,,2,,,,,,,,,,,,,,,,,,184,,,,8,,,,127,,,16,102,47,,,,0,2,,,,112,117,16,,,101,,,,,,,,2,2,3,1,,,1,,,,0.37,3,3,4,2
File,"FormAggiungiRic.cs",1,1,1,1,8,0,8,0,,,,,1,,,2,,2,,,,,,,,,,,,,,,,,,26,,,,2,,,,24,,,11,10,0,,,,0,0,,,,12,16,11,,,6,,,,,,,,1,1,1,1,,,0,,,,0.00,2,2,2,2
File,"FormAggiuntaAtt.Designer.cs",1,1,2,1,43,0,32,10,,,,,1,,,2,,2,,,,,,,,,,,,,,,,,,118,,,,7,,,,77,,,11,57,32,,,,0,2,,,,62,67,11,,,56,,,,,,,,2,2,3,1,,,1,,,,0.42,3,3,4,2
File,"FormAggiuntaAtt.cs",1,1,1,1,5,0,5,0,,,,,1,,,2,,2,,,,,,,,,,,,,,,,,,22,,,,2,,,,20,,,7,5,0,,,,0,0,,,,8,12,7,,,5,,,,,,,,1,1,1,1,,,0,,,,0.00,2,2,2,2
